QueryNumber Q0 Docno Rank Score TeamName Path
2009011 0 22478 1 8.582617777448037 DYHA \article[1]
2009011 0 3951433 2 7.146527910771033 DYHA \article[1]
2009011 0 4141841 3 7.0109137917796716 DYHA \article[1]
2009011 0 22594 4 7.002352672470085 DYHA \article[1]
2009011 0 3946850 5 6.784174027965346 DYHA \article[1]
2009011 0 263487 6 6.530723821594229 DYHA \article[1]
2009011 0 3945065 7 6.460210020866532 DYHA \article[1]
2009011 0 3951728 8 6.457248941093649 DYHA \article[1]
2009011 0 62784 9 6.207881474192375 DYHA \article[1]
2009011 0 3951505 10 6.1599384322398105 DYHA \article[1]
2009011 0 3957342 11 6.128788370327721 DYHA \article[1]
2009011 0 86190 12 6.110767881312077 DYHA \article[1]
2009011 0 3951586 13 6.100628981138824 DYHA \article[1]
2009011 0 460499 14 5.97801665844199 DYHA \article[1]
2009011 0 22479 15 5.6921077432748 DYHA \article[1]
2009011 0 4755911 16 5.69183988709145 DYHA \article[1]
2009011 0 3951664 17 5.649803260220308 DYHA \article[1]
2009011 0 8856543 18 5.628133719027824 DYHA \article[1]
2009011 0 54105 19 5.576243806352681 DYHA \article[1]
2009011 0 3947593 20 5.532886000474232 DYHA \article[1]
2009011 0 439973 21 5.471147500874817 DYHA \article[1]
2009011 0 3277 22 5.458698905916055 DYHA \article[1]
2009011 0 43945 23 5.4364382558188336 DYHA \article[1]
2009011 0 422873 24 5.407156715372294 DYHA \article[1]
2009011 0 7166373 25 5.380244843910156 DYHA \article[1]
2009011 0 187886 26 5.313975218908257 DYHA \article[1]
2009011 0 4388009 27 5.292931673403971 DYHA \article[1]
2009011 0 5876 28 5.275941396133639 DYHA \article[1]
2009011 0 2494084 29 5.266796382319214 DYHA \article[1]
2009011 0 2654489 30 5.249819402852837 DYHA \article[1]
2009011 0 57875 31 5.247941846738458 DYHA \article[1]
2009011 0 22316 32 5.226381915438132 DYHA \article[1]
2009011 0 4629098 33 5.224087849497209 DYHA \article[1]
2009011 0 165140 34 5.2207596707719 DYHA \article[1]
2009011 0 4629123 35 5.220104821473478 DYHA \article[1]
2009011 0 3945356 36 5.208544354351295 DYHA \article[1]
2009011 0 7807117 37 5.1813133258481985 DYHA \article[1]
2009011 0 21525 38 5.168419388607054 DYHA \article[1]
2009011 0 1818836 39 5.163586062520167 DYHA \article[1]
2009011 0 16823924 40 5.151002659525339 DYHA \article[1]
2009011 0 212394 41 5.148401534956363 DYHA \article[1]
2009011 0 219545 42 5.148401534956363 DYHA \article[1]
2009011 0 4629151 43 5.130170608183639 DYHA \article[1]
2009011 0 15218648 44 5.109585350479276 DYHA \article[1]
2009011 0 193276 45 5.03634550388795 DYHA \article[1]
2009011 0 57561 46 5.015682127773947 DYHA \article[1]
2009011 0 5538293 47 4.974634231449006 DYHA \article[1]
2009011 0 1925618 48 4.9638360144780815 DYHA \article[1]
2009011 0 48728 49 4.957464197392204 DYHA \article[1]
2009011 0 24768 50 4.8873357788271345 DYHA \article[1]
2009011 0 192331 51 4.868919620720559 DYHA \article[1]
2009011 0 905664 52 4.868666697249743 DYHA \article[1]
2009011 0 31427 53 4.832967340511522 DYHA \article[1]
2009011 0 15343730 54 4.78016961920666 DYHA \article[1]
2009011 0 10323757 55 4.777880926484311 DYHA \article[1]
2009011 0 287531 56 4.770110072223389 DYHA \article[1]
2009011 0 15150329 57 4.767810511241419 DYHA \article[1]
2009011 0 10646 58 4.75013962638809 DYHA \article[1]
2009011 0 18157099 59 4.747191055499093 DYHA \article[1]
2009011 0 19485405 60 4.7188264273973 DYHA \article[1]
2009011 0 4295731 61 4.713606970716017 DYHA \article[1]
2009011 0 3919380 62 4.708966656691298 DYHA \article[1]
2009011 0 75065 63 4.6528299600975895 DYHA \article[1]
2009011 0 36968 64 4.584651321395619 DYHA \article[1]
2009011 0 13868798 65 4.544801881129617 DYHA \article[1]
2009011 0 6642590 66 4.54072049626621 DYHA \article[1]
2009011 0 460587 67 4.535146803895899 DYHA \article[1]
2009011 0 465622 68 4.523440921130484 DYHA \article[1]
2009011 0 10505182 69 4.522149390036425 DYHA \article[1]
2009011 0 5051363 70 4.502096269379217 DYHA \article[1]
2009011 0 1064 71 4.488863145198348 DYHA \article[1]
2009011 0 791546 72 4.486868006465821 DYHA \article[1]
2009011 0 188551 73 4.477692465417084 DYHA \article[1]
2009011 0 61193 74 4.461251033258051 DYHA \article[1]
2009011 0 1074205 75 4.442063638901065 DYHA \article[1]
2009011 0 21388 76 4.42148331524205 DYHA \article[1]
2009011 0 8494 77 4.417308333761037 DYHA \article[1]
2009011 0 4240508 78 4.400914747122867 DYHA \article[1]
2009011 0 2348 79 4.372851409141696 DYHA \article[1]
2009011 0 59111 80 4.36279474110048 DYHA \article[1]
2009011 0 5419879 81 4.33955202485558 DYHA \article[1]
2009011 0 10698931 82 4.319815477246126 DYHA \article[1]
2009011 0 239915 83 4.319065620955846 DYHA \article[1]
2009011 0 3542988 84 4.317014834481533 DYHA \article[1]
2009011 0 50469 85 4.302879213966556 DYHA \article[1]
2009011 0 746422 86 4.3020349288698245 DYHA \article[1]
2009011 0 10259225 87 4.301628737247471 DYHA \article[1]
2009011 0 175440 88 4.294234084577669 DYHA \article[1]
2009011 0 2921902 89 4.290179890497381 DYHA \article[1]
